,dt,variation,members,install_cnt,subscriber_cnt,access_cnt,access_instant_cnt,access_ex_trial_cnt,access_trial_cnt,active_trial_cnt,trial_subscriber_cnt,charged_trial_cnt,active_charged_trial_cnt,access_otp_cnt,cancel_trial_cnt,trial_buyer_cnt,late_charged_cnt,buyer_cnt,charge_cnt,refund_14d_cnt,revenue,refund_revenue,recurrent_charge_cnt,recurrent_revenue,trial_revenue,active_trial_revenue,lifetime_revenue,upgrade_cnt,upgrade_revenue,arpu_var,lifetime_arpu_var,arppu_var,cancel_14d_cnt,cancel_1m_cnt
0,2025-06-12T00:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
3,2025-06-13T00:00:00Z,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
6,2025-06-14T00:00:00Z,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
9,2025-06-15T00:00:00Z,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
12,2025-06-16T00:00:00Z,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
15,2025-06-17T00:00:00Z,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
18,2025-06-18T00:00:00Z,1,20,20,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,33.99150142669678,0.0,1,0.0,0.0,0.0,33.99150142669678,0,0.0,57.77110846205645,57.77110846205645,0.0,0,0
21,2025-06-19T00:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
1,2025-06-12T00:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
4,2025-06-13T00:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0
